lambda,j,abs_W,arg_W,real_W,imag_W,real_lambda6_W,imag_lambda6_W,abs_lambda6_W,S_int,S_ext,closure_error,elapsed_seconds
1,0.5,0.005486968449931415,0.6590580358266505,0.004337829437815898,0.003360068234271526,0.004337829437815898,0.003360068234271526,0.005486968449931415,6.59058035826409,9.117382909684878,2.2329562064228159e-13,5.782659375
2,1.0,0.00028099701252506557,1.318116071653301,7.024925313113501e-5,0.0002720741874609379,0.004495952200392641,0.017412747997500026,0.017983808801604197,13.18116071652818,18.234765819369755,4.4659124128456317e-13,7.049280041
3,1.5,3.184554786400963e-5,1.9771741074799523,-1.2588058073293777e-5,2.9252003567316744e-5,-0.009176694335431163,0.021324710600573907,0.02321540439286302,19.77174107479227,27.35214872905463,6.69938315115182e-13,34.007648083
4,2.0,5.152179593156349e-6,2.636232143306603,-4.508157144014218e-6,2.4942882201161693e-6,-0.018465411661882238,0.01021660454959583,0.021103327613568406,26.36232143305636,36.46953163873951,8.931824825691263e-13,238.147315417
