i,real_c_normalized_basis,imag_c_normalized_basis,abs_c_normalized_basis,c_paper,abs2_c_normalized_basis,normalized_abs2_c_normalized_basis
0.0,-7.160206186230925e-6,-1.2401840907222705e-5,1.4320412372463374e-5,1.4320412372463374e-5,2.0507421051740208e-10,5.16227661692359e-8
1.0,-3.382320247424173e-5,1.9527835053358954e-5,3.9055670106717495e-5,2.2548801649494567e-5,1.5253453674847466e-9,3.8397098803562324e-7
2.0,6.0119258407357786e-5,0.00010412961007490828,0.00012023851681471748,5.377229942229195e-5,1.4457300925803098e-8,3.6392965417154672e-6
3.0,0.0002880929666833573,-0.00016633055186627427,0.0003326611037325485,0.00012573407876294055,1.1066340993655739e-7,2.785699537856043e-5
4.0,-0.0004195852523921392,-0.0007267429752497934,0.0008391705047842762,0.00027972350159475873,7.04207136099897e-7,0.00017726812274382708
5.0,-0.0016623719834133088,0.0009597709121169696,0.0019195418242339338,0.0005787636363980265,3.684640814983338e-6,0.0009275244835984231
6.0,0.001984324485362705,0.0034369508273511544,0.003968648970725397,0.0011007051814052157,1.5750174652839747e-5,0.003964748084007265
7.0,0.0063999660346038345,-0.0036950221128829977,0.007390044225765977,0.001908101214275194,5.461275365877707e-5,0.013747518056376452
8.0,-0.0061717123695394695,-0.010689719393743665,0.012343424739078937,0.002993720234181445,0.00015236013428930592,0.03835319695287963
9.0,-0.015937286102776897,0.009201396421590341,0.018402792843180655,0.004221890225386211,0.00033866278442902113,0.08525064993151914
10.0,0.012172427896834941,0.021083263568786925,0.024344855793669913,0.005312483069394125,0.0005926720036145835,0.14919169104908944
11.0,0.024567336017911823,-0.014183958063213382,0.02836791612642676,0.005915119409122119,0.0008047386653559835,0.2025746477053471
12.0,-0.014426322135686195,-0.0249871229053641,0.02885264427137244,0.0057705288542744875,0.0008324750814503608,0.2095566593332362
13.0,-0.021928219140161284,0.012660263223421188,0.025320526446842427,0.004872937586702504,0.0006411290595452467,0.16138965227125854
14.0,0.009444646955775562,0.016358608386954014,0.018889293911551135,0.003507653820831215,0.0003568054244769628,0.08981764673976984
15.0,0.010170399266624703,-0.005871882754351733,0.011743765508703484,0.0021092425511223113,0.0001379160283234136,0.03471722194207908
16.0,-0.002960145664042776,-0.005127122687926817,0.005920291328085566,0.0010305904369679805,3.5049849409405154e-5,0.008823002052591664
17.0,-0.002013436343598649,0.0011624580149728492,0.0023249160299457085,0.00039298253491902937,5.405234546298514e-6,0.001360644804480503
18.0,0.0003336098201099018,0.0005778291583342668,0.0006672196402198067,0.00010969023316238106,4.4518204829504824e-7,0.00011206445083413648
19.0,0.00010779257765203505,-6.223407372404552e-5,0.00012446814744809188,1.993085465840232e-5,1.5492319729159938e-8,3.89983897428974e-6
20.0,-5.663386071687912e-6,-9.809272419041446e-6,1.1326772143375881e-5,1.768944615686081e-6,1.2829576718795586e-10,3.2295540103930154e-8
